Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,4.691347,4.769536,4.644433,4.675709,0.785728,345317
1962-01-03,4.652252,4.652252,4.613158,4.628796,0.777844,236606
1962-01-04,4.628796,4.667890,4.534969,4.574063,0.768646,294159
1962-01-05,4.574063,4.581882,4.378590,4.456780,0.748937,436442
1962-01-08,4.456780,4.456780,4.316039,4.448961,0.747623,495593
1962-01-09,4.448961,4.511512,4.417685,4.472417,0.751565,372494
1962-01-10,4.472417,4.519331,4.456780,4.495874,0.755507,313343
1962-01-11,4.495874,4.503693,4.417685,4.503693,0.756821,260586
1962-01-12,4.503693,4.511512,4.425504,4.441142,0.746310,270178
1962-01-15,4.448961,4.503693,4.448961,4.488055,0.754193,338922
1962-01-16,4.488055,4.542788,4.456780,4.527150,0.760763,222218
1962-01-17,4.519331,4.519331,4.394228,4.425504,0.743682,342119
1962-01-18,4.425504,4.472417,4.417685,4.472417,0.751565,236606
1962-01-19,4.472417,4.511512,4.472417,4.511512,0.758135,212626
1962-01-22,4.519331,4.581882,4.519331,4.527150,0.760763,227014
1962-01-23,4.511512,4.511512,4.425504,4.441142,0.746310,364501
1962-01-24,4.441142,4.542788,4.425504,4.527150,0.760763,255790
1962-01-25,4.527150,4.558425,4.448961,4.480236,0.752878,254191
1962-01-26,4.480236,4.488055,4.448961,4.464598,0.750251,161467
1962-01-29,4.464598,4.488055,4.456780,4.472417,0.751565,163066
1962-01-30,4.527150,4.597520,4.527150,4.550606,0.764704,284566
1962-01-31,4.550606,4.691347,4.542788,4.691347,0.788355,300553
1962-02-01,4.691347,4.714804,4.613158,4.660071,0.783099,410863
1962-02-02,4.660071,4.683528,4.628796,4.683528,0.787041,236606
1962-02-05,4.675709,4.675709,4.597520,4.597520,0.772588,225415
1962-02-06,4.613158,4.660071,4.613158,4.644433,0.780471,166264
1962-02-07,4.644433,4.691347,4.628796,4.691347,0.788355,270178
1962-02-08,4.691347,4.722623,4.683528,4.722623,0.793611,281369
1962-02-09,4.722623,4.722623,4.636615,4.699166,0.789669,241402
1962-02-12,4.699166,4.714804,4.675709,4.699166,0.789669,131092
1962-02-13,4.706985,4.753898,4.706985,4.753898,0.798867,193441
1962-02-14,4.753898,4.808631,4.746079,4.792993,0.805436,258987
1962-02-15,4.800812,4.879001,4.800812,4.863363,0.817261,298955
1962-02-16,4.863363,4.871182,4.792993,4.832087,0.812006,374093
1962-02-19,4.832087,4.855544,4.769536,4.792993,0.805436,249395
1962-02-20,4.792993,4.792993,4.722623,4.785174,0.804123,171060
1962-02-21,4.785174,4.808631,4.738260,4.769536,0.801495,172658
1962-02-23,4.769536,4.777355,4.714804,4.722623,0.793611,260586
1962-02-26,4.722623,4.738260,4.620977,4.660071,0.783099,201435
